날짜,Negative,Positive,X_t,nsi,Negative_percent,Positive_percent
2020/07/01,39.0,25.0,-0.21875,,0.609375,0.390625
2020/07/02,181.0,113.0,-0.2312925170068027,92.929,0.6156462585034014,0.3843537414965986
2020/07/03,287.0,151.0,-0.3105022831050228,88.545,0.6552511415525114,0.3447488584474886
2020/07/04,317.0,158.0,-0.3347368421052631,89.395,0.6673684210526316,0.33263157894736844
2020/07/05,353.0,189.0,-0.3025830258302583,95.522,0.6512915129151291,0.34870848708487084
2020/07/06,473.0,258.0,-0.2941176470588235,97.384,0.6470588235294118,0.35294117647058826
2020/07/07,611.0,313.0,-0.3225108225108225,92.281,0.6612554112554112,0.33874458874458874
2020/07/08,809.0,354.0,-0.3912295786758383,83.67,0.6956147893379192,0.30438521066208085
2020/07/09,1004.0,421.0,-0.4091228070175438,84.752,0.7045614035087719,0.29543859649122806
2020/07/10,1373.0,775.0,-0.2783985102420857,105.106,0.6391992551210428,0.3608007448789572
2020/07/11,1516.0,842.0,-0.2858354537743851,103.688,0.6429177268871925,0.3570822731128075
2020/07/12,1587.0,845.0,-0.3050986842105263,100.347,0.6525493421052632,0.34745065789473684
2020/07/13,1804.0,948.0,-0.311046511627907,99.296,0.6555232558139535,0.3444767441860465
2020/07/14,2030.0,1120.0,-0.2888888888888888,103.355,0.6444444444444445,0.35555555555555557
2020/07/15,2055.0,1150.0,-0.2823712948517941,104.452,0.641185647425897,0.358814352574103
2020/07/16,2299.0,1436.0,-0.231057563587684,113.419,0.6155287817938421,0.384471218206158
2020/07/17,2111.0,1223.0,-0.2663467306538692,106.269,0.6331733653269346,0.36682663467306537
2020/07/18,2214.0,1251.0,-0.2779220779220779,103.844,0.638961038961039,0.36103896103896105
2020/07/19,2311.0,1317.0,-0.2739801543550165,104.504,0.6369900771775082,0.3630099228224917
2020/07/20,2286.0,1308.0,-0.2721202003338898,104.745,0.6360601001669449,0.3639398998330551
2020/07/21,2038.0,1142.0,-0.2817610062893081,102.625,0.6408805031446541,0.3591194968553459
2020/07/22,1945.0,1159.0,-0.253221649484536,108.5,0.626610824742268,0.37338917525773196
2020/07/23,1593.0,888.0,-0.2841596130592503,101.673,0.6420798065296252,0.35792019347037485
2020/07/24,1483.0,830.0,-0.2823173367920449,102.043,0.6411586683960225,0.3588413316039775
2020/07/25,1323.0,789.0,-0.2528409090909091,108.496,0.6264204545454546,0.37357954545454547
2020/07/26,1290.0,769.0,-0.2530354541039339,108.177,0.626517727051967,0.37348227294803304
2020/07/27,1417.0,796.0,-0.280614550384094,101.745,0.640307275192047,0.359692724807953
2020/07/28,2012.0,998.0,-0.3368770764119601,88.912,0.6684385382059801,0.3315614617940199
2020/07/29,3124.0,1372.0,-0.3896797153024911,78.879,0.6948398576512456,0.30516014234875444
2020/07/30,4386.0,1991.0,-0.3755684491140034,83.179,0.6877842245570017,0.3122157754429983
2020/07/31,5322.0,2430.0,-0.3730650154798761,84.63,0.6865325077399381,0.31346749226006193
2020/08/01,5676.0,2650.0,-0.3634398270478021,87.182,0.681719913523901,0.31828008647609896
2020/08/02,6222.0,2835.0,-0.3739648890361047,85.752,0.6869824445180523,0.31301755548194765
2020/08/03,7529.0,3501.0,-0.3651858567543064,87.967,0.6825929283771532,0.31740707162284676
2020/08/04,7867.0,3887.0,-0.3386081334013953,93.378,0.6693040667006976,0.33069593329930236
2020/08/05,7268.0,3736.0,-0.3209741912031988,96.95,0.6604870956015995,0.3395129043984006
2020/08/06,6601.0,3565.0,-0.2986425339366516,101.455,0.6493212669683258,0.3506787330316742
