날짜,Negative,Positive,X_t,nsi
2020/07/01,39.0,25.0,-0.21875,
2020/07/02,181.0,113.0,-0.2312925170068027,92.929
2020/07/03,287.0,151.0,-0.3105022831050228,88.545
2020/07/04,317.0,158.0,-0.3347368421052631,89.395
2020/07/05,353.0,189.0,-0.3025830258302583,95.522
2020/07/06,473.0,258.0,-0.2941176470588235,97.384
2020/07/07,611.0,313.0,-0.3225108225108225,92.281
2020/07/08,809.0,354.0,-0.3912295786758383,83.67
2020/07/09,1004.0,421.0,-0.4091228070175438,84.752
2020/07/10,1373.0,775.0,-0.2783985102420857,105.106
2020/07/11,1516.0,842.0,-0.2858354537743851,103.688
2020/07/12,1587.0,845.0,-0.3050986842105263,100.347
2020/07/13,1804.0,948.0,-0.311046511627907,99.296
2020/07/14,2030.0,1120.0,-0.2888888888888888,103.355
2020/07/15,2055.0,1150.0,-0.2823712948517941,104.452
2020/07/16,2299.0,1436.0,-0.231057563587684,113.419
2020/07/17,2111.0,1223.0,-0.2663467306538692,106.269
2020/07/18,2214.0,1251.0,-0.2779220779220779,103.844
2020/07/19,2311.0,1317.0,-0.2739801543550165,104.504
2020/07/20,2286.0,1308.0,-0.2721202003338898,104.745
2020/07/21,2038.0,1142.0,-0.2817610062893081,102.625
2020/07/22,1945.0,1159.0,-0.253221649484536,108.5
2020/07/23,1593.0,888.0,-0.2841596130592503,101.673
2020/07/24,1483.0,830.0,-0.2823173367920449,102.043
2020/07/25,1323.0,789.0,-0.2528409090909091,108.496
2020/07/26,1290.0,769.0,-0.2530354541039339,108.177
2020/07/27,1417.0,796.0,-0.280614550384094,101.745
2020/07/28,2012.0,998.0,-0.3368770764119601,88.912
2020/07/29,3124.0,1372.0,-0.3896797153024911,78.879
2020/07/30,4386.0,1991.0,-0.3755684491140034,83.179
2020/07/31,5322.0,2430.0,-0.3730650154798761,84.63
2020/08/01,5676.0,2650.0,-0.3634398270478021,87.182
2020/08/02,6222.0,2835.0,-0.3739648890361047,85.752
2020/08/03,7529.0,3501.0,-0.3651858567543064,87.967
2020/08/04,7867.0,3887.0,-0.3386081334013953,93.378
2020/08/05,7268.0,3736.0,-0.3209741912031988,96.95
2020/08/06,6601.0,3565.0,-0.2986425339366516,101.455
2020/08/07,6080.0,3311.0,-0.2948567777659461,102.203
2020/08/08,5991.0,3143.0,-0.3118020582439238,98.693
2020/08/09,5594.0,3104.0,-0.2862727063692803,104.018
2020/08/10,4472.0,2657.0,-0.2545939121896479,110.491
2020/08/11,3862.0,2298.0,-0.2538961038961039,110.373
2020/08/12,3543.0,2307.0,-0.2112820512820512,118.399
2020/08/13,3217.0,2024.0,-0.2276283152070215,114.487
2020/08/14,3211.0,2069.0,-0.2162878787878787,116.1
2020/08/15,3026.0,2080.0,-0.1852722287504896,120.919
2020/08/16,2785.0,1908.0,-0.1868740677604943,119.515
2020/08/17,2377.0,1620.0,-0.1893920440330247,118.166
2020/08/18,2274.0,1489.0,-0.208610151474887,114.238
2020/08/19,2611.0,1370.0,-0.3117307209243908,95.918
2020/08/20,2563.0,1325.0,-0.3184156378600823,94.782
2020/08/21,2088.0,1021.0,-0.3431971695078804,90.477
2020/08/22,1974.0,940.0,-0.3548387096774194,88.624
2020/08/23,1965.0,902.0,-0.3707708405999302,86.14
2020/08/24,1870.0,829.0,-0.3856984068173397,84.018
2020/08/25,1813.0,983.0,-0.2968526466380544,99.671
2020/08/26,1381.0,950.0,-0.1848991848991849,118.772
2020/08/27,1135.0,748.0,-0.2055231014338821,114.768
2020/08/28,1186.0,800.0,-0.1943605236656596,116.161
2020/08/29,1175.0,795.0,-0.1928934010152284,115.915
2020/08/30,1212.0,842.0,-0.1801363193768257,117.43
2020/08/31,1522.0,975.0,-0.2190628754505406,110.856
2020/09/01,1378.0,784.0,-0.274745605920444,101.734
2020/09/02,1270.0,694.0,-0.2932790224032586,98.689
2020/09/03,1239.0,722.0,-0.2636409994900561,103.583
2020/09/04,1207.0,719.0,-0.2533748701973001,105.25
2020/09/05,1190.0,703.0,-0.2572636027469624,104.554
2020/09/06,1158.0,679.0,-0.2607512248230811,103.93
2020/09/07,962.0,698.0,-0.1590361445783132,120.436
2020/09/08,1050.0,760.0,-0.1602209944751381,119.525
2020/09/09,1029.0,724.0,-0.1739874500855676,116.81
2020/09/10,1009.0,670.0,-0.201905896366885,112.118
2020/09/11,1051.0,636.0,-0.2459988144635447,105.026
2020/09/12,1041.0,633.0,-0.2437275985663082,105.344
2020/09/13,990.0,600.0,-0.2452830188679245,105.051
2020/09/14,869.0,468.0,-0.299925205684368,96.211
2020/09/15,799.0,346.0,-0.3956331877729258,81.174
2020/09/16,706.0,297.0,-0.4077766699900299,79.913
2020/09/17,671.0,401.0,-0.251865671641791,104.374
2020/09/18,655.0,437.0,-0.1996336996336996,112.42
2020/09/19,674.0,475.0,-0.1731940818102698,116.202
2020/09/20,711.0,500.0,-0.1742361684558216,115.696
2020/09/21,637.0,445.0,-0.177449168207024,114.901
2020/09/22,589.0,474.0,-0.1081843838193791,124.412
