날짜,Negative,Positive,X_t,nsi
2021/01/01,41.0,7.0,-0.7083333333333334,
2021/01/02,44.0,7.0,-0.7254901960784313,92.929
2021/01/03,54.0,7.0,-0.7704918032786885,88.873
2021/01/04,178.0,8.0,-0.913978494623656,85.603
2021/01/05,318.0,39.0,-0.7815126050420168,99.808
2021/01/06,389.0,59.0,-0.7366071428571429,104.852
2021/01/07,497.0,78.0,-0.7286956521739131,105.395
2021/01/08,1061.0,181.0,-0.7085346215780999,107.458
2021/01/09,1174.0,204.0,-0.7039187227866474,107.427
2021/01/10,1203.0,207.0,-0.7063829787234043,106.553
2021/01/11,1247.0,250.0,-0.665998663994656,111.401
2021/01/12,1359.0,332.0,-0.6073329390892963,116.645
2021/01/13,1375.0,337.0,-0.6063084112149533,114.553
2021/01/14,1369.0,336.0,-0.6058651026392962,113.081
2021/01/15,840.0,251.0,-0.53987167736022,117.859
2021/01/16,798.0,237.0,-0.5420289855072464,115.557
2021/01/17,787.0,234.0,-0.5416258570029383,114.123
2021/01/18,694.0,226.0,-0.508695652173913,115.631
2021/01/19,596.0,186.0,-0.5242966751918159,113.075
2021/01/20,604.0,247.0,-0.4195064629847238,119.744
2021/01/21,600.0,276.0,-0.3698630136986301,120.628
2021/01/22,628.0,275.0,-0.3909191583610188,117.174
2021/01/23,563.0,270.0,-0.3517406962785114,118.022
2021/01/24,561.0,282.0,-0.3309608540925267,117.652
2021/01/25,541.0,284.0,-0.3115151515151515,117.299
2021/01/26,468.0,222.0,-0.3565217391304348,113.686
2021/01/27,483.0,151.0,-0.5236593059936908,103.511
2021/01/28,418.0,134.0,-0.5144927536231884,103.992
2021/01/29,337.0,124.0,-0.4620390455531453,107.08
2021/01/30,337.0,120.0,-0.474835886214442,106.13
2021/01/31,333.0,120.0,-0.4701986754966887,106.281
2021/02/01,317.0,126.0,-0.4311512415349887,108.554
2021/02/02,265.0,155.0,-0.2619047619047619,118.153
