날짜,Negative,Positive,X_t,nsi
2021/01/01,31.0,8.0,-0.5897435897435898,
2021/01/04,42.0,8.0,-0.68,92.929
2021/01/05,50.0,13.0,-0.5873015873015873,106.003
2021/01/06,78.0,19.0,-0.6082474226804123,101.858
2021/01/07,101.0,28.0,-0.5658914728682171,109.194
2021/01/08,126.0,37.0,-0.5460122699386503,110.836
2021/01/09,145.0,38.0,-0.5846994535519126,102.319
2021/01/10,203.0,40.0,-0.6707818930041153,86.016
2021/01/11,226.0,45.0,-0.6678966789667896,88.524
2021/01/12,314.0,78.0,-0.6020408163265306,101.761
2021/01/13,309.0,75.0,-0.609375,100.182
2021/01/14,290.0,67.0,-0.6246498599439776,96.875
2021/01/15,285.0,58.0,-0.6618075801749271,89.169
2021/01/16,266.0,57.0,-0.6470588235294118,92.996
2021/01/17,179.0,47.0,-0.584070796460177,107.522
2021/01/18,156.0,47.0,-0.5369458128078818,116.455
2021/01/19,94.0,39.0,-0.4135338345864661,128.768
2021/01/20,113.0,72.0,-0.2216216216216216,132.783
2021/01/21,120.0,73.0,-0.2435233160621761,124.267
2021/01/22,119.0,83.0,-0.1782178217821782,123.708
2021/01/23,119.0,83.0,-0.1782178217821782,120.462
2021/01/24,155.0,95.0,-0.24,115.43
2021/01/25,268.0,117.0,-0.3922077922077922,106.553
2021/01/26,258.0,91.0,-0.4785100286532951,101.543
2021/01/27,222.0,62.0,-0.5633802816901409,96.615
2021/01/28,233.0,74.0,-0.5179153094462541,99.358
2021/01/29,242.0,67.0,-0.5663430420711975,96.464
2021/01/30,260.0,69.0,-0.5805471124620061,95.67
2021/02/01,238.0,58.0,-0.6081081081081081,94.066
2021/02/02,142.0,37.0,-0.5865921787709497,95.534
2021/02/03,157.0,41.0,-0.5858585858585859,95.665
2021/02/04,165.0,41.0,-0.6019417475728155,94.713
2021/02/05,146.0,28.0,-0.6781609195402298,89.955
2021/02/06,126.0,25.0,-0.6688741721854304,90.832
2021/02/07,118.0,27.0,-0.6275862068965518,93.714
2021/02/08,110.0,30.0,-0.5714285714285714,97.531
2021/02/09,164.0,25.0,-0.7354497354497355,86.855
2021/02/10,176.0,19.0,-0.8051282051282052,83.096
2021/02/11,171.0,12.0,-0.8688524590163934,80.299
2021/02/12,185.0,14.0,-0.8592964824120602,81.96
2021/02/13,189.0,14.0,-0.8620689655172413,82.712
2021/02/14,189.0,11.0,-0.89,82.046
2021/02/15,206.0,9.0,-0.916279069767442,81.568
2021/02/16,138.0,14.0,-0.8157894736842105,87.558
2021/02/17,122.0,31.0,-0.5947712418300654,99.816
2021/02/18,169.0,63.0,-0.4568965517241379,107.421
2021/02/19,184.0,66.0,-0.472,106.471
2021/02/20,203.0,66.0,-0.5092936802973977,104.302
2021/02/21,204.0,78.0,-0.4468085106382978,107.749
2021/02/22,217.0,83.0,-0.4466666666666666,107.634
2021/02/23,228.0,87.0,-0.4476190476190476,107.463
2021/02/24,227.0,71.0,-0.5234899328859061,103.034
2021/02/25,192.0,46.0,-0.6134453781512605,97.795
2021/02/26,188.0,57.0,-0.5346938775510204,102.42
2021/02/28,177.0,69.0,-0.4390243902439024,107.996
2021/03/01,171.0,59.0,-0.4869565217391304,105.074
2021/03/02,152.0,59.0,-0.4407582938388625,107.743
2021/03/03,151.0,50.0,-0.5024875621890548,103.977
2021/03/04,421.0,67.0,-0.7254098360655737,90.574
2021/03/05,544.0,70.0,-0.7719869706840391,87.992
2021/03/06,594.0,65.0,-0.802731411229135,86.456
2021/03/07,596.0,66.0,-0.8006042296072508,86.883
2021/03/08,726.0,95.0,-0.7685749086479903,88.997
2021/03/09,779.0,134.0,-0.7064622124863089,92.791
2021/03/10,806.0,155.0,-0.6774193548387096,94.585
2021/03/11,523.0,137.0,-0.5848484848484848,100.161
2021/03/12,409.0,133.0,-0.5092250922509225,104.709
2021/03/13,347.0,126.0,-0.46723044397463,107.193
2021/03/14,361.0,123.0,-0.4917355371900826,105.637
2021/03/15,268.0,95.0,-0.4765840220385675,106.503
2021/03/16,229.0,55.0,-0.6126760563380281,98.098
2021/03/17,230.0,40.0,-0.7037037037037037,92.51
2021/03/18,224.0,41.0,-0.690566037735849,93.396
2021/03/19,232.0,38.0,-0.7185185185185186,91.738
2021/03/20,258.0,41.0,-0.725752508361204,91.385
2021/03/21,288.0,33.0,-0.794392523364486,87.288
2021/03/22,337.0,37.0,-0.8021390374331551,87.035
2021/03/23,353.0,43.0,-0.7828282828282829,88.418
2021/03/24,364.0,43.0,-0.7886977886977887,88.235
2021/03/25,376.0,44.0,-0.7904761904761904,88.302
2021/03/26,363.0,45.0,-0.7794117647058824,89.137
2021/03/27,323.0,37.0,-0.7944444444444444,88.377
2021/03/28,262.0,35.0,-0.7643097643097643,90.352
2021/03/29,212.0,43.0,-0.6627450980392157,96.645
2021/03/30,203.0,33.0,-0.7203389830508474,93.13
2021/03/31,247.0,31.0,-0.7769784172661871,89.728
2021/04/01,312.0,46.0,-0.7430167597765364,91.919
2021/04/02,307.0,45.0,-0.7443181818181818,91.915
2021/04/03,313.0,47.0,-0.7388888888888889,92.324
2021/04/04,317.0,53.0,-0.7135135135135136,93.959
2021/04/05,298.0,44.0,-0.7426900584795322,92.195
2021/04/06,316.0,51.0,-0.7220708446866485,93.544
2021/04/07,249.0,59.0,-0.6168831168831169,100.191
2021/04/08,180.0,47.0,-0.5859030837004405,102.147
2021/04/09,201.0,50.0,-0.601593625498008,101.139
2021/04/10,212.0,49.0,-0.6245210727969349,99.669
2021/04/11,209.0,44.0,-0.6521739130434783,97.895
2021/04/12,210.0,45.0,-0.6470588235294118,98.236
2021/04/13,233.0,44.0,-0.6823104693140795,95.961
2021/04/14,210.0,39.0,-0.6867469879518072,95.696
2021/04/15,237.0,38.0,-0.7236363636363636,93.319
2021/04/16,228.0,35.0,-0.7338403041825095,92.701
2021/04/17,246.0,46.0,-0.684931506849315,95.956
2021/04/18,273.0,51.0,-0.6851851851851852,95.962
2021/04/19,271.0,48.0,-0.6990595611285266,95.067
2021/04/20,339.0,107.0,-0.5201793721973094,106.98
2021/04/21,331.0,102.0,-0.5288683602771362,106.356
2021/04/22,345.0,113.0,-0.5065502183406113,107.798
2021/04/23,317.0,110.0,-0.4847775175644028,109.185
2021/04/24,297.0,102.0,-0.4887218045112781,108.847
2021/04/25,349.0,116.0,-0.5010752688172043,107.955
2021/04/26,515.0,122.0,-0.6169544740973313,100.124
2021/04/27,412.0,60.0,-0.7457627118644068,91.446
2021/04/28,466.0,73.0,-0.7291280148423006,92.627
2021/04/29,429.0,57.0,-0.7654320987654321,90.239
2021/04/30,438.0,57.0,-0.7696969696969697,90.035
2021/05/01,25.0,2.0,-0.8518518518518519,84.665
2021/05/02,26.0,3.0,-0.7931034482758621,88.752
2021/05/03,34.0,8.0,-0.6190476190476191,100.52
2021/05/04,47.0,9.0,-0.6785714285714286,96.494
2021/05/05,53.0,14.0,-0.582089552238806,103.056
2021/05/06,99.0,26.0,-0.584,102.913
2021/05/07,105.0,32.0,-0.5328467153284672,106.389
2021/05/08,134.0,31.0,-0.6242424242424243,100.096
2021/05/09,158.0,35.0,-0.6373056994818653,99.197
2021/05/10,179.0,34.0,-0.6807511737089202,96.198
2021/05/11,244.0,35.0,-0.7491039426523297,91.496
2021/05/12,248.0,31.0,-0.7777777777777778,89.583
2021/05/13,203.0,19.0,-0.8288288288288288,86.184
2021/05/14,225.0,28.0,-0.7786561264822134,89.75
2021/05/15,182.0,28.0,-0.7333333333333333,92.937
2021/05/16,173.0,23.0,-0.7653061224489796,90.778
2021/05/17,168.0,23.0,-0.7591623036649214,91.264
2021/05/18,109.0,25.0,-0.6268656716417911,100.478
2021/05/19,128.0,61.0,-0.3544973544973545,119.179
2021/05/20,142.0,62.0,-0.392156862745098,116.347
2021/05/21,138.0,49.0,-0.4759358288770053,110.504
2021/05/22,143.0,50.0,-0.4818652849740932,110.023
2021/05/23,130.0,50.0,-0.4444444444444444,112.478
2021/05/24,150.0,54.0,-0.4705882352941176,110.604
2021/05/25,184.0,60.0,-0.5081967213114754,107.979
2021/05/26,215.0,52.0,-0.6104868913857678,100.953
2021/05/27,238.0,76.0,-0.5159235668789809,107.427
2021/05/28,237.0,81.0,-0.490566037735849,109.118
2021/05/29,273.0,90.0,-0.5041322314049587,108.135
2021/05/30,283.0,95.0,-0.4973544973544973,108.552
2021/05/31,281.0,101.0,-0.4712041884816754,110.289
2021/06/01,263.0,100.0,-0.4490358126721763,111.727
2021/06/02,243.0,82.0,-0.4953846153846153,108.476
2021/06/03,249.0,63.0,-0.5961538461538461,101.503
